rank,name,count,,
901,FRIEDMAN,"38,374",,
902,POTTS,"38,277",,
903,TRUONG,"38,267",,
904,COSTA,"38,265",,
905,CORREA,"38,232",,
906,BLEVINS,"38,229",,
907,NIXON,"38,147",,
908,CLEMENTS,"38,044",,
909,FRY,"38,029",,
910,DELAROSA,"37,932",,
911,BEST,"37,923",,
912,BENTON,"37,912",,
913,LUGO,"37,903",,
914,PORTILLO,"37,890",,
915,DOUGHERTY,"37,884",,
916,CRANE,"37,870",,
917,HALEY,"37,858",,
918,PHAN,"37,836",,
919,VILLALOBOS,"37,754",,
920,BLANCHARD,"37,695",,
921,HORNE,"37,689",,
922,FINLEY,"37,672",,
923,QUINTANA,"37,657",,
924,LYNN,"37,644",,
925,ESQUIVEL,"37,578",,
926,BEAN,"37,571",,
927,DODSON,"37,566",,
